Word,Frequency
FUNNY,34281806
TRIED,34201786
NAMED,34099544
LASER,34080740
HARRY,33867934
TAXES,33674672
MOUSE,33667003
BRAIN,33612784
DREAM,33518573
FALSE,33476460
FALLS,33213513
STATS,33096627
CARRY,33056477
HELLO,32960381
CLIPS,32846497
BRIEF,32599674
ENDED,32588866
EIGHT,32567724
WANTS,32538214
ALERT,32472727
QUEEN,32366847
SWEET,32311923
TRUCK,32136249
VOTES,32059663
OCEAN,31928741
SIGNS,31899467
DEPTH,31879926
TRAIN,31816971
FEEDS,31593736
ROUTE,31439231
FRANK,31392284
ANIME,31334688
SPEAK,31324712
QUERY,31284313
RURAL,30998929
JUDGE,30905832
BYTES,30848384
FIGHT,30784313
FILED,30718907
BANKS,30582183
KELLY,30510238
LEADS,30507300
WALES,29821525
MINOR,29782623
NOTED,29754565
SPENT,29719451
HELPS,29607993
CYCLE,29585286
SLEEP,29491537
SCENE,29372413
DRINK,29254937
INTEL,28995654
RINGS,28827859
HENRY,28769085
GUESS,28743465
AHEAD,28375319
DEVEL,28152649
DELTA,28051872
CISCO,27894293
ALPHA,27832836
BONUS,27819488
ADOBE,27538755
TREES,27378116
DRESS,27318959
REFER,27099706
BABES,27016030
LAYER,26912270
SPEND,26713310
CLOCK,26624872
RATIO,26457942
PROOF,26305059
EMPTY,26206017
IDEAL,26036289
SPECS,26029159
PARKS,25974927
CREAM,25898758
BOXES,25787744
HILLS,25770218
AWARE,25700328
SHAPE,25675227
FIRMS,25497302
USAGE,25440406
MIXED,25395056
EXIST,25349128
WHEEL,25342937
ANGEL,25294123
WIDTH,25182453
NOISE,25171520
ARRAY,25150016
GREEK,25059132
SHARP,24904199
OCCUR,24679212
KNOWS,24640096
COACH,24514961
PLATE,24275560
LOGIC,23989892
SIZES,23751367
PLAIN,23747230
COSTA,23702154
TRAIL,23648838
BUDDY,23611087
SETUP,23534848
BLUES,23387172
SCOPE,23349420
CRAZY,23032837
BEARS,22926868
MOUTH,22880351
METER,22874915
FRUIT,22767191
LEWIS,22640158
SUGAR,22450333
STICK,22399126
GENRE,22344091
SLIDE,22339084
EXACT,22304937
BOUND,22303643
STORM,22242164
MICRO,22219932
DOLLS,22065047
PAINT,21926890
DELAY,21911190
PILOT,21909830
NOVEL,21821189
ULTRA,21795075
PLAYS,21753930
TRULY,21693553
LODGE,21541130
BOOBS,21461250
BROAD,21370126
SWISS,21324437
FOODS,21150689
GUARD,21137924
NEWLY,21102330
RAISE,21099943
DRAMA,20939845
BANDS,20842378
LUNCH,20807419
DILDO,20789655
AUDIT,20786243
POLLS,20694349
TOWER,20686918
YOURS,20672809
SHELL,20599318
SOLAR,20423792
CATCH,20400979
DOUBT,20311261
TASKS,20273373
DOORS,20229491
FORTH,20149609
SPLIT,19998411
TWICE,19945569
SHIFT,19811555
MARKS,19747824
LOVED,19719299
BIRDS,19693729
SAVED,19635976
SHOTS,19611119
TREAT,19442315
PIANO,19419956
RISKS,19205769
PORTS,19171802
TEACH,19079783
RAPID,19070672
HAIRY,19060619
DUTCH,19000979
BOOTS,18968708
HOLDS,18963546
PULSE,18893735
METRO,18738665
STRIP,18711440
PEARL,18707334
PENIS,18478169
HEADS,18400524
LOGOS,18366230
MILFS,18358745
HONDA,18261029
BILLS,18248816
OPERA,18225169
ASSET,18178753
BLANK,18150537
HUMOR,18085495
LIVED,18050710
TIGHT,17981854
MEANT,17832930
PLANE,17799728
MEETS,17760399
GRACE,17642126
VILLA,17587586
INNER,17552078
ROMAN,17431193
TASTE,17311343
TRIPS,17273017
SIDES,17269191
TURNS,17261850
CACHE,17250923
LEASE,17180592
PROUD,17167504
GIANT,17098874
SEATS,17070818
ALARM,17059844
USUAL,17044981
ANGLE,17016075
VINYL,17009819
WORST,16975343
HONOR,16787246
EAGLE,16785232
PANTS,16774383
NURSE,16772151
QUIET,16746894
COMIC,16695850
CROWN,16651038
MAKER,16635947
CRACK,16633701
PICKS,16627992
SMOKE,16567733
CRAFT,16528294
APART,16507181
BLIND,16485480
COINS,16449733
GROSS,16440590
ACTOR,16282891
FINDS,16280898
FIFTH,16255266
PRIZE,16204739
DIRTY,16101662
ALIVE,16064787
PROVE,16046788
WINGS,16044458
RIDGE,15993437
MODEM,15984492
SKILL,15835076
MOVES,15789001
THROW,15751985
TREND,15747018
BUSTY,15705827
WORSE,15677739
BOATS,15600762
TELLS,15534490
FIBER,15530318
GRAPH,15526746
TALKS,15484166
BONDS,15431252
FRAUD,15378751
ROGER,15353411
CRASH,15302627
INTER,15269346
GROVE,15189493
SPRAY,15148133
ROADS,15093621
FACES,15050854
COCKS,15043799
MAYOR,15030847
YIELD,15022494
HENCE,14992334
RADAR,14982375
LAKES,14947463
DIARY,14922472
KINGS,14914273
FLAGS,14870655
BAKER,14862470
SHOCK,14850388
WALLS,14837851
EBONY,14831025
DRAWN,14827380
BEAST,14787561
DODGE,14768509
PIZZA,14763787
YARDS,14733347
WOODS,14647735
JOKES,14622894
GLOBE,14554904
KERRY,14514771
GHOST,14490042
PRIDE,14428078
CHILE,14372798
MARIA,14347893
BRASS,14298573
PLAZA,14274314
QUEST,14258533
TRANS,14243681
BOOTY,14218854
ACRES,14208905
VENUE,14204074
VITAL,14166642
EXCEL,14133468
MODES,14131325
ENEMY,14084182
WELLS,14073676
OPENS,14070477
LUCKY,14053901
THICK,14030556
VISTA,13991160
CHIPS,13982676
TERRY,13981773
FLOOD,13979267
ARENA,13966572
GROWN,13931521
JERRY,13908229
SMILE,13893537
LANDS,13891179
ARMED,13866785
LAURA,13801282
CANDY,13772033
PILLS,13767091
TIGER,13763074
FOLKS,13760930
BALLS,13683840
BOOST,13675076
ICONS,13649671
MORAL,13643598
KEEPS,13624468
POUND,13620117
ROSES,13584758
BREAD,13575360
TOUGH,13560922
GONNA,13542156
CHEST,13516414
BILLY,13515249
CRAIG,13480763
SOLVE,13452150
TONES,13373535
SIGHT,13360499
TOWNS,13337599
WORRY,13243591
READS,13174104
ROLES,13171507
GLORY,13158826
FAULT,13112664
JIMMY,13030009
RUGBY,12992179
FLUID,12943336
BARRY,12921548
DEVIL,12869511
GRASS,12868953
SIZED,12775596
MANGA,12774174
THEFT,12744763
SWING,12734467
DATED,12707511
SHOOT,12695618
ELITE,12673836
POEMS,12662561
ROBOT,12656312
WINDS,12628386
GNOME,12609820
ROOTS,12609370
NOBLE,12604679
SHORE,12568485
LOVES,12566621
LOOSE,12556710
SLOTS,12452126
ROCKS,12427428
GENES,12396954
HORNY,12363955
HOSTS,12228736
ATLAS,12221120
FEELS,12212683
RALPH,12190683
CORPS,12150135
LIVER,12139363
DECOR,12098868
TEXTS,12095723
FAILS,12015364
AGING,12014007
INTRO,11938092
CLERK,11923960
MILLS,11910667
JEANS,11896655
FONTS,11884559
FAVOR,11867822
SIGMA,11864409
ASIDE,11768649
ESSAY,11750312
CAMPS,11712039
TRACE,11697252
PACKS,11683277
SPOKE,11577917
ARROW,11563142
ROUGH,11557184
WEIRD,11556427
HOLES,11529280
BLADE,11527988
MEALS,11515834
ROBIN,11423944
STRAP,11414669
CROWD,11409218
CLOUD,11337220
VALVE,11325360
KNIFE,11297715
SHELF,11287023
LIKED,11282738
ADOPT,11272339
OUTER,11245167
TALES,11222332
NODES,11208722
SEEDS,11196921
CITED,11195944
TIRED,11158233
STEAM,11141309
ACUTE,11128841
STOOD,11116275
CAROL,11109404
STACK,11090579
CURVE,11071177
AMBER,11065507
TRUNK,11020361
WAVES,11006010
CAMEL,11005001
LAMPS,11000656
JUICE,10973425
CHASE,10971945
SAUCE,10968629
BEADS,10825324
FLOWS,10797166
FEWER,10792786
PROXY,10773043
VOTED,10746027
BIKES,10740880
GATES,10734618
SLAVE,10692715
COMBO,10592758
HAVEN,10569212
CHARM,10554644
BASIN,10544774
RANCH,10539650
DRUNK,10519219
TONER,10508427
LATEX,10502825
ALIEN,10490554
BROKE,10460811
NYLON,10410171
DISCS,10404995
ROCKY,10404321
FLEET,10364423
BUNCH,10355431
CENTS,10301064
OMEGA,10289113
CIVIC,10283668
SAVER,10258158
GRILL,10254124
GRAIN,10244623
WANNA,10232302
SEEKS,10174194
GAINS,10137566
SPOTS,10109662
SALON,10079006
TURBO,10058686
AIMED,10030370
RESET,10021033
BRUSH,10018684
SPARE,10009522
SKIRT,9981485
HONEY,9978043
GAUGE,9952466
FACED,9938155
SIXTH,9920054
FARMS,9908537
CHEAT,9903572
SANDY,9897487
MACRO,9885853
LAUGH,9822471
PITCH,9800556
AUTOS,9798008
PERRY,9785838
DOZEN,9776227
TEETH,9769437
CLOTH,9764137
STAMP,9760468
LOTUS,9759485
CARGO,9748668
LIKES,9727733
TAPES,9719559
ZONES,9719114
RACES,9715279
MAPLE,9704551
DEPOT,9688338
BLEND,9680982
PROBE,9643801
DEBUG,9581095
CHUCK,9574825
EBOOK,9558308
BINGO,9539002
MINDS,9529696
SUNNY,9497382
CEDAR,9484993
HOPES,9462715
MASON,9461838
BURNS,9460104
PUMPS,9456489
PAIRS,9432115
CHOSE,9409845
BLAST,9387171
TOMMY,9327874
BRAKE,9321885
CONGO,9310976
OLIVE,9298184
CYBER,9289150
CLONE,9284578
DICKS,9280692
RELAY,9275052
TEARS,9274206
OASIS,9270498
ANGRY,9267505
LOVER,9234545
ROLLS,9220414
DADDY,9211193
FERRY,9208954
LOADS,9175948
MOTEL,9170238
RALLY,9155530
DYING,9123557
STUCK,9120620
STOPS,9118589
VOCAL,9082826
ORGAN,9077449
LEMON,9066930
TOXIC,9065369
BENCH,8992211
RIDER,8987802
BUTTS,8968856
BOBBY,8964342
SHEEP,8962638
WINES,8939582
SALAD,8923706
PASTE,8913055
RELAX,8856944
SWORD,8835685
SELLS,8827377
CORAL,8818272
PIXEL,8813200
FLOAT,8808655
COLIN,8807299
PATHS,8806073
ACIDS,8793940
DAIRY,8781961
ADMIT,8780656
FANCY,8777135
SQUAD,8744772
WAGES,8737438
MALES,8708016
CHAOS,8690268
WHEAT,8685589
BASES,8663363
UNITY,8657709
BRIDE,8650665
BEGUN,8636352
SOCKS,8632058
FEVER,8582665
DRUMS,8560748
ROVER,8537021
FLAME,8527495
TANKS,8526525
SPELL,8506049
ANNEX,8465905
SLUTS,8430809
HINTS,8393784
WIRED,8371548
ARGUE,8353605
ARISE,8337093
BITCH,8302447
CHESS,8293823
OSCAR,8285553
MENUS,8283476
CANAL,8278196
AMINO,8273641
HERBS,8271850
LYING,8260845
DRILL,8248787
HOBBY,8237250
TRIES,8236889
TRICK,8208473
DROPS,8187657
WIDER,8186703
SCREW,8177263
BLAME,8170544
FIFTY,8133138
UNCLE,8127694
RANDY,8110369
BRICK,8094369
NAVAL,8091649
DONNA,8058734
CABIN,8052267
FIRED,8031937
TIRES,8007166
RETRO,8000179
ANGER,7991036
SUITS,7986526
HANDY,7936655
CROPS,7931319
GUILD,7923630
TRIBE,7890695
BATCH,7835050
ALTER,7831337
EDGES,7826115
TWINS,7815027
AMEND,7806844
CHICK,7771502
THONG,7747699
MEDAL,7747036
WALKS,7744070
SUCKS,7743126
BOOTH,7723310
INDIE,7722085
BONES,7717501
BREED,7716901
POLAR,7715471
DANNY,7664864
PATIO,7627536
BEANS,7607524
SNAKE,7606395
BERRY,7551906
OUGHT,7523238
FIXES,7513516
SENDS,7512707
TIMER,7488669
TYLER,7474964
VERSE,7469512
HIGHS,7468394
RACKS,7436380
NASTY,7434847
TUMOR,7430480
WATTS,7423674
FORTY,7415064
TUBES,7413309
QUEUE,7398569
SKINS,7370612
EXAMS,7364984
WELSH,7346867
BELLY,7346354
ELDER,7299470
SONIC,7298920
THUMB,7284386
TWIST,7240854
RANKS,7222499
DEBUT,7220643
PENNY,7162062
IVORY,7146685
REMIX,7132676
ALIAS,7132147
NEWER,7122879
SPICE,7120274
DONOR,7096675
TRASH,7092806
MANOR,7084688
DIANE,7081367
DISCO,7067687
MINUS,7025364
SHADE,6996835
DIGIT,6991045
LIONS,6980244
POOLS,6977605
LYRIC,6970278
GRAVE,6929008
DEVON,6896016
SAVES,6892635
LOBBY,6887477
PUNCH,6872844
GOTTA,6870320
KARMA,6862407
BETTY,6858121
SHAKE,6839319
HOLLY,6834032
SILLY,6833654
MERCY,6831149
FENCE,6796605
SHAME,6785296
FATAL,6779744
FLESH,6768724
JESSE,6744751
SHEER,6684477
WITCH,6671560
COHEN,6665722
PUPPY,6662287
SMELL,6642666
SATIN,6620674
PROMO,6616863
TUNES,6610108
NERVE,6567418
RENEW,6561081
LOCKS,6536771
EUROS,6533754
REBEL,6527810
HIRED,6526426
KILLS,6484339
SLOPE,6469975
NAILS,6463889
WHATS,6462263
RIDES,6461201
REHAB,6460331
MERIT,6450895
DISKS,6445126
CONDO,6444848
FAIRY,6435300
SHAFT,6431372
KITTY,6414935
DRAIN,6411642
MONTE,6411384
FIRES,6407259
PANIC,6396440
LEONE,6393163
ONION,6384730
BEATS,6367861
MERRY,6367037
SCUBA,6366349
DRIED,6331606
DERBY,6319608
STEAL,6257493
FEARS,6244239
TUNER,6238319
ALIKE,6220739
SCOUT,6176157
DEALT,6174968
BUCKS,6165133
BADGE,6145138
WRIST,6143580
HEATH,6139151
REALM,6122762
JENNY,6118544
BUSES,6101027
ROUGE,6084449
YEAST,6083904
BROOK,6044943
WIVES,6031432
XEROX,6022102
SORTS,6005834
ARMOR,6001844
VIRAL,5969493
PIPES,5966191
LADEN,5964620
MERGE,5961585
SPERM,5944531
CRAPS,5943974
FROST,5940685
SALLY,5933047
YACHT,5932756
WHALE,5928569
SHARK,5904454
GROWS,5899321
CLIFF,5898886
TRACT,5897046
SHINE,5881862
DIFFS,5870429
OZONE,5865280
PASTA,5855460
SERUM,5854942
SWIFT,5850031
INBOX,5845223
FOCAL,5844761
SAMBA,5838327
WOUND,5820050
BELLE,5820002
LINED,5802278
BOXED,5778226
CUBIC,5774261
SPIES,5756937
ELECT,5748899
BUNNY,5730050
CHEVY,5729809
FLYER,5718564
BATHS,5707960
EMACS,5697594
CLIMB,5697476
DOVER,5683356
TOKEN,5672353
KINDA,5660928
BELTS,5651790
BURKE,5646090
FLUSH,5625285
MOSES,5615802
JOHNS,5610302
JEWEL,5603871
TEDDY,5602073
DRYER,5592001
RULED,5589851
FUNKY,5587279
JOINS,5578553
SCARY,5571680
CAKES,5565500
MIXER,5558245
TOOTH,5551049
STAYS,5547528
DROVE,5545848
UPSET,5544484
MINES,5542234
LOGAN,5539308
LANCE,5509634
COLON,5494297
LANES,5489762
PURSE,5488891
ALIGN,5478643
BLESS,5477461
CREST,5477034
ALLOY,5468839
PLOTS,5466589
DRAWS,5458448
BLOOM,5456938
LOOPS,5439483
SURGE,5436623
SOULS,5416970
SPANK,5416004
VAULT,5408483
WIRES,5401677
MAILS,5397230
ORBIT,5389062
BACON,5385205
SPINE,5370074
TROUT,5369048
FATTY,5363547
OXIDE,5321340
BADLY,5290145
SCOOP,5272369
BLINK,5257629
TILES,5251527
FUZZY,5241931
GRAMS,5240826
FORGE,5226805
DENSE,5225392
BRAVE,5221356
AWFUL,5217370
WHORE,5199489
WAGON,5198530
KNOCK,5196013
PEERS,5188853
QUILT,5187075
MAMBO,5164902
FLOUR,5162842
CHOIR,5156247
BLOND,5155053
BURST,5147573
FIBRE,5134463
DAISY,5124326
CRUDE,5119129
BORED,5114852
FARES,5093799
HOPED,5086531
SAFER,5085040
MARSH,5073104
THETA,5070673
STAKE,5061965
ARBOR,5057261
RIFLE,5047417
BULBS,5028440
WAIST,5013500
SEWER,5008805
VITRO,5000420
ROMEO,4990395
TURKS,4986307
DEMOS,4984806
SIDED,4982500
RESIN,4966700
LINEN,4960413
SEALS,4958012
DECAY,4956622
USHER,4948609
SKATE,4932092
LYNCH,4920597
FRANC,4916960
FLATS,4911343
HEELS,4907543
VOTER,4905374
URINE,4903932
CAPRI,4902351
TOWEL,4901668
SEARS,4897480
FLIES,4894680
CRANE,4888961
HABIT,4880657
COUPE,4874541
LORDS,4862111
TENDS,4861901
SIXTY,4851534
SPARK,4842423
SPIKE,4833410
TONGA,4813052
BACKS,4797208
SOILS,4789565
HUNKS,4776866
SEDAN,4769270
CARES,4757269
FLORA,4756211
HARDY,4748572
BELLS,4743841
DENIM,4737554
DOSES,4717242
BAKED,4716100
GLOVE,4714578
PLUSH,4692870
WEBER,4692730
NELLY,4686900
URGED,4685830
BRENT,4683680
ADAPT,4675567
FUELS,4657731
STERN,4643592
SHAWN,4642740
TUTOR,4635949
IDIOT,4635830
DEBIT,4633794
EDITS,4631228
RAVEN,4630541
SLICE,4628779
ASPEN,4626441
LEMMA,4623172
VENUS,4618752
HALLS,4607236
PAUSE,4606318
DEMON,4602331
ASSES,4583177
COUCH,4581367
DOWNS,4578206
ROGUE,4576302
OPTIC,4558869
CHILI,4553187
GRIEF,4552843
SWEAT,4551615
MASKS,4548281
CELEB,4548138
QUAKE,4544481
ALLEY,4541475
TWAIN,4530277
BUFFY,4519674
LOYAL,4498834
RENAL,4494106
SPITE,4493143
IMPLY,4491299
CHILL,4489643
LINER,4486145
LIFTS,4479565
VIVID,4479514
ACTED,4468180
SKULL,4457991
RILEY,4443795
NINJA,4439780
SANDS,4428127
STEAK,4413680
COBRA,4412823
THREW,4410853
NINTH,4390562
MARRY,4388137
WILLS,4376548
ATOMS,4375988
DRAKE,4373046
RAILS,4364886
FRIED,4364192
MALLS,4362513
WOODY,4355633
CRIED,4352198
PLUGS,4333394
CODED,4330278
SUPRA,4329457
MOLLY,4328076
RIVAL,4298220
BEIGE,4288534
HOMER,4281428
GASES,4277836
GENUS,4275567
DEBTS,4259542
MYTHS,4253827
KNEES,4250743
POETS,4248574
WOVEN,4248524
PEDRO,4247791
RIGID,4240019
SALSA,4234056
BLOWN,4229918
BATON,4229776
ABBEY,4224864
EVITE,4214149
DIETS,4207940
SAUNA,4202256
BOWLS,4193933
CRUEL,4180956
EAGER,4175668
CHANG,4168927
PUPIL,4167137
FEAST,4166016
FEDEX,4153858
ANKLE,4146793
DECKS,4131188
BLUNT,4129800
REACT,4126376
RISES,4124482
COATS,4107452
FAIRS,4091127
FLUTE,4090740
HARSH,4087715
CEASE,4081957
POLES,4074284
EQUIP,4044391
HEDGE,4041429
CURRY,4029540
WORMS,4027528
POUCH,4023912
HOOKS,4023408
PEAKS,4011396
SPOON,4000406
BOMBS,3999701
NICHE,3999108
CIGAR,3993843
CURSE,3982181
FOREX,3977390
TITAN,3974407
SHOUT,3965861
NUDES,3964133
STRAW,3958211
REUSE,3950428
LOSES,3942953
SUEDE,3941313
PEACH,3938068
UNCUT,3929056
STOVE,3914849
FREAK,3908219
BLUFF,3906671
SADLY,3905175
AVAIL,3902711
HATCH,3896261
STEIN,3893544
SPILL,3890646
DRIFT,3889505
CRISP,3880385
SCANS,3877627
ONSET,3858839
ASSAY,3855224
TENTS,3850460
SNACK,3847152
PULLS,3846669
SQUID,3828491
MAXIM,3820484
SLATE,3813904
PAGAN,3805644
WIDOW,3804620
SKIES,3796788
KICKS,3792491
CANOE,3790795
JUICY,3778910
MOODY,3776452
PEDAL,3763705
TUNED,3761208
SCRAP,3757085
TERRA,3747696
VAPOR,3744912
ALOUD,3743858
GOOSE,3739382
HYDRO,3725464
PLAYA,3723548
NOISY,3722908
ABIDE,3722809
BLISS,3708978
PARSE,3698919
JELLY,3698541
MANIA,3688699
BOLTS,3682849
TYPED,3681027
CHEER,3648929
CLAMP,3639509
GRAPE,3638159
DEEDS,3636121
TRAPS,3628684
RACER,3625077
GUILT,3623942
SWEEP,3623863
DUCKS,3618693
LUNAR,3611744
POSED,3604888
FORKS,3592612
BOXER,3592432
WEIGH,3587993
RODEO,3587192
MOOSE,3581329
CRUSH,3576348
LEVER,3566558
TASTY,3565676
RANTS,3561826
TAROT,3561389
CARTS,3559795
COCOA,3557169
MIXES,3552046
PANTY,3546636
BULLS,3540837
HURRY,3536968
CLASH,3531117
BIKER,3530897
STAIN,3512824
REIGN,3505605
BARON,3504549
BATES,3503755
STIFF,3492842
RABBI,3488700
SUSHI,3488691
PUFFY,3488647
ELBOW,3484326
STARK,3479265
CIRCA,3475462
RAZOR,3451657
COUGH,3451640
ISLES,3443470
OVENS,3443150
INLET,3433125
GLOSS,3426618
PANDA,3424825
PORCH,3420626
EATEN,3412832
SINKS,3399604
STEEP,3399504
DINAR,3399128
CREED,3398609
CARAT,3398374
FAXES,3386604
PLUMP,3386553
MIDST,3381410
BORNE,3379421
TEMPO,3372997
TORCH,3360286
LOHAN,3352800
HACKS,3348166
ATTIC,3347389
PIPER,3346631
STEMS,3336905
TOONS,3318074
TENTH,3317039
DESKS,3315227
AIDED,3314916
CUTIE,3305791
NOTCH,3302495
LACKS,3296569
BOWIE,3287191
POSES,3280246
SCENT,3277212
FINES,3270544
GRASP,3270025
OUNCE,3268355
TOAST,3262695
KINKY,3254161
